artikelcode,merk,omschrijving
2029620,Pragmalux,Pragmalux LED Breedstraler Auva G3 IP66 C4 300-500W 3000K-5000K 3CCT 50000-85000lm asymmetrisch zwart RAL9004  DALI2
2029552,Pragmalux,Pragmalux LED Breedstraler Auva G3 IP66 C4 60-100W 3000K-5000K 3CCT 10000-17000lm asymmetrisch incl. photocell zwart RAL9004
2029590,Pragmalux,Pragmalux LED Breedstraler Auva G3 IP66 C4 60-100W 3000K-5000K 3CCT 10000-17000lm asymmetrisch zwart RAL9004  DALI2
1000893,Pragmalux,Pragmalux LED Bulkhead Ovalo IP65 5W 3000K-4000K 2-CCT 450lm Wit Ø270
1000893-S,Pragmalux,Pragmalux LED Bulkhead Ovalo IP65 5W 3000K-4000K 2-CCT 450lm Wit Ø270 + Bewegingssensor
1000893-DS,Pragmalux,Pragmalux LED Bulkhead Ovalo IP65 5W 3000K-4000K 2-CCT 450lm Wit Ø270 + Daglichtsensor
1000909,Pragmalux,Pragmalux LED Bulkhead Ovalo IP65 5W 3000K-4000K 2-CCT 450lm Zwart Ø270
1000909-S,Pragmalux,Pragmalux LED Bulkhead Ovalo IP65 5W 3000K-4000K 2-CCT 450lm Zwart Ø270 + Bewegingssensor
1000909-DS,Pragmalux,Pragmalux LED Bulkhead Ovalo IP65 5W 3000K-4000K 2-CCT 450lm Zwart Ø270 + Daglichtsensor
1000527,Pragmalux,Pragmalux LED Bulkhead Ovalo IP65 Grill Afscherming Wit
1000534,Pragmalux,Pragmalux LED Bulkhead Ovalo IP65 Grill Afscherming Zwart
1000503,Pragmalux,Pragmalux LED Bulkhead Ovalo IP65 Halve Afscherming Wit
1000510,Pragmalux,Pragmalux LED Bulkhead Ovalo IP65 Halve Afscherming Zwart
1000381,Pragmalux,Pragmalux LED Bulkhead Venus G2 3-Step Dim Bewegingssensor (Daglicht Prioriteit)
1045443-DS,Pragmalux,"Pragmalux LED Bulkhead Venus G2 IP65 2,75W-5W 3000K-5000K 3-CCT 295-570lm Ø300 + Step-dim daglicht & bewegingssensor"
1045443-DSN,Pragmalux,"Pragmalux LED Bulkhead Venus G2 IP65 2,75W-5W 3000K-5000K 3-CCT 295-570lm Ø300 + Step-dim daglicht & bewegingssensor & noodmodule 1uur autotest"
1048482,Pragmalux,"Pragmalux LED Bulkhead Venus G2 IP65 24-42V AC/DC  2,75W-5W 3000K-5000K 3-CCT 295-570lm Ø300"
1048451,Pragmalux,Pragmalux LED Bulkhead Venus G2 IP65 24-42V AC/DC 8W-18W 3000K-5000K 3-CCT 900-2025lm Ø300
1048451-S,Pragmalux,Pragmalux LED Bulkhead Venus G2 IP65 24-42V AC/DC 8W-18W 3000K-5000K 3-CCT 900-2025lm Ø300 + bewegingssensor
1000152,Pragmalux,Pragmalux LED Bulkhead Venus G2 IP65 8W-18W 3000K-5000K 3-CCT 900-2025lm Ø300
1000152-N,Pragmalux,Pragmalux LED Bulkhead Venus G2 IP65 8W-18W 3000K-5000K 3-CCT 900-2025lm Ø300 + Noodmodule 1uur autotest
1000152-S,Pragmalux,Pragmalux LED Bulkhead Venus G2 IP65 8W-18W 3000K-5000K 3-CCT 900-2025lm Ø300 + Step-dim bewegingssensor
1000152-SN,Pragmalux,Pragmalux LED Bulkhead Venus G2 IP65 8W-18W 3000K-5000K 3-CCT 900-2025lm Ø300 + Step-dim bewegingssensor & noodmodule 1uur autotest
1000152-DS,Pragmalux,Pragmalux LED Bulkhead Venus G2 IP65 8W-18W 3000K-5000K 3-CCT 900-2025lm Ø300 + Step-dim daglicht & bewegingssensor
1000152-DSN,Pragmalux,Pragmalux LED Bulkhead Venus G2 IP65 8W-18W 3000K-5000K 3-CCT 900-2025lm Ø300 + Step-dim daglicht & bewegingssensor & noodmodule 1uur autotest
1041148,Pragmalux,Pragmalux LED Bulkhead Venus G2 LED Driver dip-switch18W 0.46A 42V
1000213,Pragmalux,Pragmalux LED Bulkhead Venus G2 Master-Slave Kabel
1001050,Pragmalux,Pragmalux LED Bulkhead Venus G2 Ø300 Halve Maan Ring Wit RAL9003
1001074,Pragmalux,Pragmalux LED Bulkhead Venus G2 Ø300 Halve Maan Ring Zwart RAL9004
1000176,Pragmalux,Pragmalux LED Bulkhead Venus G2 Ø300 Ring Grijs RAL7016
1000169,Pragmalux,Pragmalux LED Bulkhead Venus G2 Ø300 Ring Wit RAL9003
1001081,Pragmalux,Pragmalux LED Bulkhead Venus G2 Ø370 Ring Wit RAL9003
1001104,Pragmalux,Pragmalux LED Bulkhead Venus G2 Ø370 Ring Zwart RAL9004
1000855,Pragmalux,Pragmalux LED Daglichtsensor
1046761,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Gatmaat Ø150 excl. LED Driver en frame
1046778,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Gatmaat Ø200 excl. LED Driver en frame
1046747,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 max. 6W 3000K-6000K 3-CCT max. 690lm 100D Gatmaat Ø90 excl. LED Driver en frame
1046754,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 max. 9W 3000K-6000K 3-CCT max. 1000lm 100D Gatmaat Ø120 excl. LED Driver en frame
WO1046761,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 wit opbouw max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Ø150x80(H) Buitenmaat excl. LED Driver
WO1046778,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 wit opbouw max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Ø200x80(H) Buitenmaat excl. LED Driver
WS1046761,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 wit standaard max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Ø200 Buitenmaat - Gatmaat Ø150 excl. LED Driver
WS1046778,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 wit standaard max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Ø250 Buitenmaat - Gatmaat Ø200 excl. LED Driver
WS1046747,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 wit standaard max. 6W 3000K-6000K 3-CCT max. 690lm 100D Ø110 Buitenmaat - Gatmaat Ø90 excl. LED Driver
